МАКСИМА ЗАРЯ (м. Владыкино),55.84302,37.581119,"<p>&laquo;Максима Заря&raquo; является одной из самых востребованных 3-звездочных гостиниц и располагается в экологически чистом месте северного района &nbsp;Москвы. Находясь в &nbsp;шаговой доступности от метро &laquo;Владыкино&raquo; и &laquo;Петро-Разумовская&raquo;, гостиница позволяет проживающим быстро оказаться в нужном месте столицы.</p>



<p>Для удобного проживания гостям предоставляется 198 номеров, оснащенных современной техникой и мебелью. Заказать номер можно на сутки и более, с завтраком или без. В ресторане и лобби-баре гостиницы гости могут угоститься блюдами европейской и русской кухни.</p>



<p>Проживая в гостинице, гости имеют возможность проводить конференции, семинары, деловые встречи, воспользовавшись услугами бизнес-центра и конференц-залов гостиницы.</p>

",maksima-zarya-m-vladykino,"Москва, ул. Гостиничная, д.4, к. 9",1,true,false,2,8.7,10,1236
ПЕКИН,53.892309,27.578674,"<p>Эта очаровательная гостиница расположенная в одном из красивейших мест города Минска,в зеленой зоне,на берегу реки Свислочь. Очень удобное транспортное расположение,в 5-ти минутах ходьбы от метро Пролетарская и в 5-ти минутах езды от центра города. Из окон этой гостиницы открывается прекрасный вид на садово-парковую зону.</p>

",pekin,"г.Минск.,Красноармейская улица 36",8,true,false,4,8.7,20,2658
ПРЕЗИДЕНТ-ОТЕЛЬ,53.899509,27.565496,"<p>Пятизвездочный отель, расположенный в самом сердце города Минска, в 5 минутах ходьбы от станции метро &quot;Октябрьская&quot;. Из некоторых номеров отеля открывается прекрасный понарамный вид на город. Рядом находится большое количество исторических достопримечательностей: Костел девы Марии,гостинный Двор 18 века,Минская ратуша,Троицкое предместие и др.</p>

",prezident-otel,"г.Минск., Улица Кирова 18",8,true,false,4,8.7,34,3592
ИСТ ТАЙМ,53.878819,27.597036,"<p>Ист Тайм- это гостиница для тех, кому важно комфортное проживание за умеренную цену, Отличительное качество Ист Тайм в том, что имеются 2 специальных номера для путешественников с ограниченными возможностями,в холле установлен механический пандус. Очень удобное транспортное расположение, вблизи автовокзал &quot;Восточный&quot;, 2-ое минское кольцо. Гостиница находится в 10 минутах езды от центра города.</p>

",ist-taim,"г. Минск, 2-й Велосипедный пер., 5 ",8,true,false,1,8.7,11,2348
ГАРНИ,53.901759,27.553953,"<p>Гарни расположен в историческом центре города. Это здание является памятником архитектуры,было построено в стиле электики 19 в. В гостинице есть Бизнес-центр,в котором можно провести любое мероприятие, атак жепредоставляется все необходимое оборудование для работы. В близи Гарни находится большое количество торговых-развлекательных центров и станция метро &quot;Немига&quot;.</p>

",garni,"Минск, ул. Интернациональная 11",8,true,false,2,8.7,21,1237
РЕНЕССАНС МИНСК,53.892246,27.529096,"<p>Ренессанс Минск- это замечательный отель бизнес-класса в центре города.&nbsp;Рядом расположен&nbsp;цетральный железнодорожный вокзал и станция&nbsp;метро Грушевка. В ресторане &quot;Арбореа&quot; Вы можете отведать блюда&nbsp;европейской и белоруской кухни,а так же посетить спа,фитнес-центр с прекрасным бассейном.</p>

",renessans-minsk,"г. Минск, пр-т Дзержинского, 1е",8,true,false,4,8.7,35,2659
ВОЯЖ,53.893164,27.450557,"<p>Вояж</p>

",voyazh,"г. Минск., ул. Якубовского 52 А",8,true,true,5,8.7,12,3593
МОНАСТЫРСКАЯ,53.904957,27.557483,"<p>Этот гостиничный комплекс расположен в центральном районе города, в здании бывшего монастыря,который был основан в 1624 году. Недавно была проведена реконструкция. В самом сердце города можно окунуться в ауру тишины и спокойствия. А так же можно посетить музей карет и взять на прокат исторические костюмы. Гостиничный комплекс находится в 5 минутах ходьбы от станции метро &quot;Октябрьская&quot; и в 10 минутах от метро &quot;Немига&quot;.</p>

",monastyrskaya,"г. Минск,. ул. Кирилла и Мефодия 6",8,true,true,2,8.7,22,2349
БУТИК ОТЕЛЬ БУТА,53.899615,27.547772,"<p>Бута Бутик - это стильный и комфортабельный отель.Он расположен в центре города, недалеко от станции метро Немига.&nbsp;Всего в гостинице 35 номеров, в которых есть все, что необходимо современному путешественнику. Разнообразие категорий позволяет выбрать именно тот номер, который больше всего отвечает цели вашего визита,- от уютного стандартного номера до Королевского сьюта. За отдельную плату от отеля организуют трансфер в аэропорт.</p>

",butik-otel-buta,"г. Минск,.ул. Мясникова 7",8,true,true,5,8.7,36,1237
КРАУН ПЛАЗА,53.895249,27.555013,"<p>Краун Плаза находится в центре. Очень удобное транспортное расположение, 7 мин.ходьбы от Центрального железнодорожного вокзала, от метро &quot;Площадь Ленина&quot;. Так же вблизи отеля имеются большие т.ц. &quot;Галилео&quot;, &quot;Столица&quot; и футбольный стадион &quot; Динамо&quot;. Для любителей провести время в казино, через дорогу, всем известное казино &quot;Шангри- ла&quot;, и в самом отеле на 1-ом этаже казино&quot; Diamond&quot;.</p>

",kraun-plaza,"г. Минск,. ул. Кирова 13",8,true,true,4,8.7,13,2659
